ts_utc,pair,side,score,price,interval,expiry_min,expires_utc,rsi,status,result_price,outcome
2025-08-27 02:42:12+00:00,EUR/USD,,1,1.16286,1m,5,,56.14,,,
2025-08-27 02:42:12+00:00,GBP/USD,,1,1.34625,1m,5,,42.31,,,
2025-08-27 02:42:12+00:00,USD/JPY,SELL,2,147.729,1m,5,2025-08-27 02:47:12+00:00,60.24,closed,147.70400000,WIN
2025-08-27 02:42:12+00:00,USD/CHF,,1,0.80466,1m,5,,43.74,,,
2025-08-27 02:42:12+00:00,USD/CAD,SELL,2,1.38394,1m,5,2025-08-27 02:47:12+00:00,61.31,closed,1.38386000,WIN
2025-08-27 02:42:12+00:00,AUD/USD,BUY,2,0.64904,1m,5,2025-08-27 02:47:12+00:00,39.76,closed,0.64905000,WIN
2025-08-27 02:42:12+00:00,NZD/USD,,1,0.58526,1m,5,,46.94,,,
2025-08-27 02:42:12+00:00,EUR/JPY,SELL,2,171.782,1m,5,2025-08-27 02:47:12+00:00,63.4,closed,171.79000000,LOSS
2025-08-27 02:42:12+00:00,GBP/JPY,,1,198.879,1m,5,,55.9,,,
2025-08-27 02:42:12+00:00,Gold,BUY,2,3383.03,1m,5,2025-08-27 02:47:12+00:00,33.39,closed,3385.20000000,WIN
2025-08-27 02:42:12+00:00,Silver,BUY,2,38.511,1m,5,2025-08-27 02:47:12+00:00,31.5,closed,38.53700000,WIN
2025-08-27 02:42:12+00:00,BTC/USDT,,-1,,1m,5,,,,,
2025-08-27 02:42:12+00:00,ETH/USDT,,-1,,1m,5,,,,,
2025-08-27 02:42:12+00:00,SOL/USDT,,-1,,1m,5,,,,,
2025-08-27 02:42:12+00:00,DOGE/USDT,,-1,,1m,5,,,,,
2025-08-27 02:42:12+00:00,LTC/USDT,,-1,,1m,5,,,,,
2025-08-27 02:42:12+00:00,XRP/USDT,,-1,,1m,5,,,,,
2025-08-27 02:42:12+00:00,BCH/USDT,,-1,,1m,5,,,,,
